Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,1,242,242,242,0.00,0.000%,4.13223,1.63,0.67,404.0
1 - Get all notes,250,44,1,249,23.19,0.000%,3.37014,14.17,0.61,4305.0
1 - Get creator (/notes/1/creator),250,2,1,50,6.81,0.000%,3.38171,1.87,0.60,565.0
1 - Get creator (/notes/2/creator),250,2,0,38,4.53,0.000%,3.38391,1.77,0.60,536.0
1 - Get creator (/notes/3/creator),250,1,0,30,3.99,0.000%,3.38451,1.90,0.60,576.0
1 - Get creator (/notes/4/creator),250,2,0,28,4.57,0.000%,3.38501,1.83,0.60,555.0
1 - Get creator (/notes/5/creator),250,2,0,41,6.48,0.000%,3.38510,1.83,0.60,555.0
1 - Get creator (/notes/6/creator),250,6,0,50,11.50,0.000%,3.38519,1.83,0.60,555.0
1 - Get creator (/notes/7/creator),250,6,0,40,12.08,0.000%,3.38529,1.90,0.60,576.0
1 - Get creator (/notes/8/creator),250,8,0,49,14.48,0.000%,3.38364,1.90,0.60,576.0
1 - Get creator (/notes/9/creator),250,3,0,38,8.43,0.000%,3.38373,1.77,0.60,536.0
1 - Get creator (/notes/10/creator),250,5,0,38,10.67,0.000%,3.38382,1.87,0.61,566.0
2 - Get first note,250,7,0,44,13.01,0.000%,3.38391,2.59,0.57,784.0
3.1 - Get creator of note 1,250,5,0,123,12.21,0.000%,3.38428,1.87,0.60,565.0
3.1 - Get edited notes of creator,250,23,1,58,18.17,0.000%,3.38327,7.68,0.62,2323.0
3.1 - Get keywords (/notes/1/keywords),250,5,0,41,10.24,0.000%,3.38382,1.98,0.61,600.0
3.1 - Get keywords (/notes/2/keywords),250,2,0,37,6.85,0.000%,3.38428,1.07,0.61,325.0
3.1 - Get keywords (/notes/10/keywords),250,3,0,43,8.78,0.000%,3.38442,2.31,0.61,700.0
3.2 - Get contributors of note 1,250,2,0,44,7.04,0.000%,3.38460,2.87,0.62,867.0
3.2 - Get edited notes of creator (/authors/3/editedNotes),250,51,1,125,16.15,0.000%,3.38217,12.91,0.62,3909.0
3.2 - Get keywords (/notes/3/keywords),250,1,0,31,3.59,0.000%,3.38240,1.39,0.61,422.0
3.2 - Get keywords (/notes/4/keywords),250,1,0,28,1.78,0.000%,3.38249,1.39,0.61,421.0
3.2 - Get keywords (/notes/5/keywords),250,1,0,28,3.33,0.000%,3.38263,1.39,0.61,421.0
3.2 - Get keywords (/notes/6/keywords),250,1,0,28,2.38,0.000%,3.38272,1.69,0.61,513.0
3.2 - Get keywords (/notes/9/keywords),250,1,0,26,1.63,0.000%,3.38281,1.71,0.61,517.0
3.2 - Get edited notes of creator (/authors/4/editedNotes),250,44,1,64,13.17,0.000%,3.38025,11.40,0.62,3452.0
3.2 - Get keywords (/notes/7/keywords),250,2,1,41,4.93,0.000%,3.38048,1.38,0.61,418.0
4 - Get first note,250,1,0,4,0.50,0.000%,3.38062,2.59,0.58,784.0
4 - Add keyword,250,4,1,404,26.42,0.000%,3.38066,1.17,1.21,353.0
5 - Get keyword search link,250,1,0,28,4.74,0.000%,3.38510,1.00,0.58,302.0
5 - Search for keywrod,250,23,0,49,17.96,0.000%,3.38446,7.18,0.67,2173.0
5 - Delete note (/notes/4),250,2,0,38,6.57,0.000%,3.38533,0.51,0.78,155.0
5 - Delete note (/notes/5),250,2,0,37,6.05,0.000%,3.38607,0.51,0.78,155.0
5 - Delete note (/notes/6),250,2,0,38,5.90,0.000%,3.38620,0.51,0.78,155.0
5 - Delete note (/notes/7),250,1,0,37,3.90,0.000%,3.38629,0.51,0.78,155.0
TOTAL,8501,8,0,404,17.17,0.000%,113.75771,99.22,21.74,893.2
